Title,Old Slug (ReadMe),New Slug (apidocs-aligned),Changed?
Get Sent Emails,get_sent_emails,get-sent-emails,Yes
Entity Sharing,,,
Entity Sharing,entity-sharing,entity-sharing,No
Share a Lead,share_a_lead,share-a-lead,Yes
Revoke Access to a Shared Lead,revoke_access_to_a_shared_lead,revoke-access-to-a-shared-lead,Yes
Share an Opportunity,share_an_opportunity,share-an-opportunity,Yes
Revoke Access to a Shared Opportunity,revoke_access_to_a_shared_opportunity,revoke-access-to-a-shared-opportunity,Yes
Get Status of a Share Revoke Request,get_status_of_a_share_revoke_request,get-status-of-a-share-revoke-request,Yes
Lead Management,,,
Lead Management,lead-management,lead-management,No
Create a Lead,create_a_lead,create-a-lead,Yes
Create Leads in Bulk,create_leads_in_bulk,create-leads-in-bulk,Yes
Capture Leads,capture_leads,capture-lead,Yes
Create or Update a Lead,create_or_update_a_lead,create-or-update,Yes
Create or Update Leads in Bulk,create_or_update_leads_in_bulk,bulk-create-or-update,Yes
Create a Lead and Activity (Lead Mgmt),create_a_lead_and_activity_2,create-lead-and-activity-2,Yes
Convert a Visitor to a Lead,convert_a_visitor_to_a_lead,visitor-to-lead,Yes
Create a Custom Lead Field,create_a_custom_lead_field,create-custom-lead-field,Yes
Create a Note,create_a_note,create-notes-with-attachment,Yes
Get a Lead by ID,get_a_lead_by_id,get-lead-by-id,Yes
Get a Lead by Email,get_a_lead_by_email,get-a-lead-by-email-id,Yes
Get a Lead by Phone Number,get_a_lead_by_phone_number,get-lead-by-phone,Yes
Get a Lead Field's Properties,get_a_lead_field_s_properties,get-lead-field-properties,Yes
Get a Lead's Notes,get_a_lead_s_notes,get-all-notes-of-lead,Yes
Get Details of a Lead Owner,get_details_of_a_lead_owner,get-details-of-a-lead-owner,Yes
Get Info on Merged Child Leads,get_info_on_merged_child_leads,get-info-on-merged-child-leads,Yes
Get Leads by Date Range,get_leads_by_date_range,get-leads-by-date-range,Yes
Get Leads in Bulk by IDS,get_leads_in_bulk_by_ids,get-leads-in-bulk-by-ids,Yes
Get Metadata,get_metadata,meta-data,Yes
Quick Search Leads,quick_search_leads,quick-search,Yes
Search Leads by Criteria,search_leads_by_criteria,search-by-lead-criteria,Yes
Update a Lead,update_a_lead,update-a-lead,Yes
Update a Note,update_a_note,update-note,Yes
Update Leads in Bulk,update_leads_in_bulk,bulk-update,Yes
Update Leads in Bulk V2,update_leads_in_bulk_v2,update-lead-in-bulk-v2,Yes
Update Mailing Preferences,update_mailing_preferences,update-mailing-prefrences,Yes
Mark a Lead Valid,mark_a_lead_valid,mark-lead-valid,Yes
Mark Lead Invalid,mark_lead_invalid,mark-lead-invalid,Yes
Merge Leads,merge_leads,merge-leads,Yes
Add Values to a Lead Drop Down Field,add_values_to_a_lead_drop_down_field,add-values-to-a-lead-drop-down-field,Yes
Remove Values from a Lead Drop Down Field,remove_values_from_a_lead_drop_down_field,remove-values-from-a-lead-drop-down-field,Yes
Reset a Lead,reset_a_lead,reset-a-lead,Yes
Delete a Lead,delete_a_lead,lead-delete,Yes
Delete a Note,delete_a_note,delete-notes-for-lead,Yes
Delete a Lead's Owner Change History,delete_a_lead_s_owner_change_history,delete-leads-owner-change-history,Yes
Delete a Lead's Stage Change History,delete_a_lead_s_stage_change_history,delete-a-leads-stage-change-history,Yes
List Management,,,
List Management,list-management,list-management,No
Create Empty Static List,create_empty_static_list,create-empty-static-list,Yes
Get All Lists,get_all_lists,retrieve-all-lists,Yes
Check List Membership,check_list_membership,check-lead,Yes
Get a List by Lead ID,get_a_list_by_lead_id,get-list-by-lead-id,Yes
Get Lead IDS in a List,get_lead_ids_in_a_list,get-leads-in-a-list-2,Yes
Get Leads in a List,get_leads_in_a_list,get-leads-in-a-list,Yes
Get Count of Leads in a List,get_count_of_leads_in_a_list,count-of-leads-in-a-list,Yes
Add a Lead to a Static List,add_a_lead_to_a_static_list,add-lead,Yes
Add Leads to a Static List,add_leads_to_a_static_list,add-leads-to-a-static-list,Yes
Remove a Lead from a Static List,remove_a_lead_from_a_static_list,remove-lead-from-static-list,Yes
Remove All Leads from a Static List,remove_all_leads_from_a_static_list,remove-all-leads-from-a-static-list,Yes
Opportunity Management,,,
Opportunity Management,opportunity-management,opportunity-management,No
Add Opportunities in Bulk,add_opportunities_in_bulk,add-opportunities-in-bulk,Yes
Capture Opportunities,capture_opportunities,capture-opportunities,Yes
Check If Opportunity Feature Is Enabled,check_if_opportunity_feature_is_enabled,check-if-opportunity-feature-is-enabled,Yes
Get Metadata of an Opportunity Type,get_metadata_of_an_opportunity_type,get-metadata-of-an-opportunity-type,Yes
Get Opportunity Types,get_opportunity_types,get-opportunity-types,Yes
Get an Opportunity by ID,get_an_opportunity_by_id,get-an-opportunity-by-id,Yes
Get Opportunities in Bulk by ID,get_opportunities_in_bulk_by_id,get-opportunities-in-bulk-by-ids,Yes
Get an Opportunity by Lead ID,get_an_opportunity_by_lead_id,get-opportunities-by-lead-id,Yes
Get Opportunities by Unique Lead Field,get_opportunities_by_unique_lead_field,get-opportunities-by-unique-lead-field,Yes
Opportunity Advanced Search,opportunity_advanced_search,opportunity-advanced-search,Yes
Bulk Update Opportunities,bulk_update_opportunities,bulk-update-opportunities,Yes
Update an Opportunity,update_an_opportunity,update-an-opportunity,Yes
Delete an Opportunity,delete_an_opportunity,delete-an-opportunity,Yes
Post an Activity on an Opportunity (Opp),post_an_activity_on_an_opportunity_2,post-an-activity-on-an-opportunity-2,Yes
Post Bulk Activities on Opportunities (Opp),post_bulk_activities_on_opportunities_2,post-bulk-activities-on-opportunities-2,Yes
Sales Group Management,,,
Sales Group Management,sales-group-management,sales-group-management,No
Create a Sales Group,create_a_sales_group,create-a-sales-group,Yes
Get Sales Groups,get_sales_groups,get-sales-groups,Yes
Get Users of a Sales Group,get_users_of_a_sales_group,get-users-of-a-sales-group,Yes
Add Users to a Sales Group,add_users_to_a_sales_group,add-users-to-a-sales-group,Yes
Remove Users from a Sales Group,remove_users_from_a_sales_group,remove-users-from-a-sales-group,Yes
Delete a Sales Group,delete_a_sales_group,delete-a-sales-group,Yes
Task Management,,,
Task Management,task-management,task-management,No
Create an Appointment,create_an_appointment,create-task-appointment,Yes
Create a to Do,create_a_to_do,create-a-to-do,Yes
Create Tasks in Bulk,create_tasks_in_bulk,create-tasks-in-bulk,Yes
Get List of Task Types,get_list_of_task_types,get-list-of-task-types,Yes
Get List of Task Types Names,get_list_of_task_types_names,get-list-of-task-types-2,Yes
Get a Task by ID,get_a_task_by_id,get-task-detail,Yes
Get Tasks by Lead ID,get_tasks_by_lead_id,retrieve-tasks-by-leadid,Yes
Get Tasks by Opportunity ID,get_tasks_by_opportunity_id,retrieve-tasks-by-opportunity-id,Yes
Get Tasks,get_tasks,retrieve-tasks,Yes
Get Reminders,get_reminders,get-reminders,Yes
Get Available Slots of Users by Search Criteria,get_available_slots_of_users_by_search_criteria,get-available-slots-of-users-by-user-search-criteria,Yes
Get Available Slots of Users by ID,get_available_slots_of_users_by_id,get-available-slots-of-users-by-id,Yes
Get Available Slots of Users by Email Address,get_available_slots_of_users_by_email_address,get-available-slots-of-users-by-user-email-address,Yes
Get Appointments by Search Criteria,get_appointments_by_search_criteria,get-appointments-by-search-criteria,Yes
Get Appointments by User ID,get_appointments_by_user_id,get-appointments-by-user-id,Yes
Get Appointments by Email Address,get_appointments_by_email_address,get-appointments-by-email-address,Yes
Get to Dos by Search Criteria,get_to_dos_by_search_criteria,get-to-dos-by-search-criteria,Yes
Get to Dos by User ID,get_to_dos_by_user_id,get-to-dos-by-user-id,Yes
Get to Dos by Email Address,get_to_dos_by_email_address,get-to-dos-by-email-address,Yes
Update a Task,update_a_task,update-task,Yes
Bulk Update Appointment Timings,bulk_update_appointment_timings,bulk-update-appointment-timings,Yes
Bulk Update Appointment Timings by Minutes,bulk_update_appointment_timings_by_minutes,bulk-update-appointment-timings-by-minutes,Yes
Bulk Update Appointment Timings by Hours,bulk_update_appointment_timings_by_hours,bulk-update-appointment-timings-by-hours,Yes
Mark a Task Complete,mark_a_task_complete,mark-a-task-complete,Yes
Cancel Appointments in Bulk,cancel_appointments_in_bulk,cancel-appointments-in-bulk,Yes
Delete a Task,delete_a_task,delete-task,Yes
Team Management,,,
Team Management,team-management,team-management,No
Create a Team,create_a_team,create-a-team,Yes
Get Teams,get_teams,get-teams,Yes
Update a Team,update_a_team,update-a-team,Yes
Delete a Team,delete_a_team,delete-a-team,Yes
Telephony,,,
Telephony,telephony,telephony,No
Post a Call Log,post_a_call_log,call-log-api-for-leadsquared-generic-telephony-connector,Yes
Get Single Sign on Key,get_single_sign_on_key,get-single-sign-on-key-for-leadsquared-generic-telephony-connector,Yes
Get a Lead Owner's Phone Number,get_a_lead_owner_s_phone_number,get-lead-owner-phone-number-api-for-leadsquared-generic-telephony-connector,Yes
Update Call Recordings Duration for Phone Call Activities,update_call_recordings_duration_for_phone_call_activities,update-call-recordings-duration-for-phone-call-activities,Yes
Enable Agent Pop Up,enable_agent_pop_up,enable-agent-pop-up,Yes
Disable Agent Pop Up,disable_agent_pop_up,disable-agent-pop-up,Yes
Show Agent Pop Up,show_agent_pop_up,showagentpopup-api-for-leadsquared-generic-telephony-connector,Yes
Enable Click2call,enable_click2call,enable-click2call,Yes
Disable Click2call,disable_click2call,disable-click2call,Yes
Enable Soft Phone,enable_soft_phone,enable-soft-phone,Yes
Update Virtual Numbers,update_virtual_numbers,update-virtual-numbers,Yes
Upload and Attach a File,,,
Upload and Attach a File,upload-and-attach-a-file,file-upload-to-leads,Yes
Upload File,upload_file_copy,upload-file-copy,Yes
User Management,,,
User Management,user-management,user-management,No
Create a User,create_a_user,create-a-user,Yes
Create a Permission Template,create_a_permission_template,create-permission-templates,Yes
Authenticate a User,authenticate_a_user,user-authentication,Yes
Get Users,get_users,get-users,Yes
Get User by ID,get_user_by_id,get-user-by-id,Yes
Get a User by Email Address,get_a_user_by_email_address,get-user-by-email-id,Yes
